Price,Close,High,Low,Open,Volume
Ticker,MNQ=F,MNQ=F,MNQ=F,MNQ=F,MNQ=F
Datetime,,,,,
2025-03-16 22:00:00+00:00,19673.25,19687.5,19648.25,19669.5,0
2025-03-16 22:01:00+00:00,19663.75,19679.75,19652.25,19673.5,1458
2025-03-16 22:02:00+00:00,19650.25,19661.0,19650.0,19660.25,454
2025-03-16 22:03:00+00:00,19660.75,19662.5,19650.25,19651.25,424
2025-03-16 22:04:00+00:00,19656.75,19660.25,19651.0,19660.0,320
2025-03-16 22:05:00+00:00,19658.0,19659.25,19654.25,19657.0,154
2025-03-16 22:06:00+00:00,19653.75,19661.0,19643.25,19658.5,524
2025-03-16 22:07:00+00:00,19632.5,19652.75,19625.75,19651.75,899
2025-03-16 22:08:00+00:00,19620.25,19633.25,19619.0,19633.25,974
2025-03-16 22:09:00+00:00,19618.5,19625.75,19616.0,19622.0,655
2025-03-16 22:10:00+00:00,19622.5,19624.0,19617.75,19619.0,474
2025-03-16 22:11:00+00:00,19622.0,19632.25,19622.0,19622.5,584
2025-03-16 22:12:00+00:00,19599.5,19623.5,19595.5,19622.0,1695
2025-03-16 22:13:00+00:00,19601.5,19610.0,19596.5,19599.0,737
2025-03-16 22:14:00+00:00,19614.5,19621.0,19593.0,19602.25,1056
2025-03-16 22:15:00+00:00,19607.0,19617.5,19606.0,19613.5,439
2025-03-16 22:16:00+00:00,19605.75,19619.25,19601.5,19607.0,526
2025-03-16 22:17:00+00:00,19605.25,19610.75,19601.5,19605.25,268
2025-03-16 22:18:00+00:00,19605.5,19606.75,19602.25,19606.25,164
2025-03-16 22:19:00+00:00,19613.0,19615.0,19596.75,19605.5,778
2025-03-16 22:20:00+00:00,19608.0,19615.75,19602.0,19613.25,444
2025-03-16 22:21:00+00:00,19607.25,19619.75,19606.75,19607.5,806
2025-03-16 22:22:00+00:00,19611.0,19619.0,19606.5,19607.5,359
2025-03-16 22:23:00+00:00,19619.5,19622.0,19610.5,19610.75,495
2025-03-16 22:24:00+00:00,19618.0,19619.0,19614.0,19619.0,301
2025-03-16 22:25:00+00:00,19614.5,19624.5,19614.5,19618.25,528
2025-03-16 22:26:00+00:00,19613.5,19617.75,19608.75,19614.5,555
2025-03-16 22:27:00+00:00,19612.5,19614.25,19609.25,19613.25,118
2025-03-16 22:28:00+00:00,19613.0,19618.0,19611.75,19612.25,190
2025-03-16 22:29:00+00:00,19614.75,19617.75,19609.0,19612.5,243
2025-03-16 22:30:00+00:00,19605.25,19617.75,19605.0,19615.75,504
2025-03-16 22:31:00+00:00,19604.0,19608.5,19601.25,19605.75,493
2025-03-16 22:32:00+00:00,19615.5,19622.0,19596.75,19603.25,1426
2025-03-16 22:33:00+00:00,19609.25,19616.5,19608.5,19615.75,314
2025-03-16 22:34:00+00:00,19611.5,19614.5,19608.0,19609.5,261
2025-03-16 22:35:00+00:00,19603.0,19611.25,19600.25,19611.0,489
2025-03-16 22:36:00+00:00,19607.5,19608.5,19595.75,19602.25,728
2025-03-16 22:37:00+00:00,19602.5,19616.5,19598.0,19607.5,498
2025-03-16 22:38:00+00:00,19600.75,19609.0,19600.75,19602.75,278
2025-03-16 22:39:00+00:00,19600.25,19603.75,19598.5,19601.25,234
2025-03-16 22:40:00+00:00,19608.75,19611.0,19598.0,19600.5,556
2025-03-16 22:41:00+00:00,19614.25,19615.5,19608.5,19609.0,342
2025-03-16 22:42:00+00:00,19615.0,19618.0,19608.25,19614.75,619
2025-03-16 22:43:00+00:00,19620.25,19621.5,19613.75,19615.0,454
2025-03-16 22:44:00+00:00,19614.25,19621.0,19612.75,19620.0,352
2025-03-16 22:45:00+00:00,19611.5,19615.0,19609.5,19614.5,214
2025-03-16 22:46:00+00:00,19607.5,19615.0,19605.0,19610.75,367
2025-03-16 22:47:00+00:00,19608.25,19611.25,19606.25,19607.75,204
2025-03-16 22:48:00+00:00,19606.75,19611.75,19605.75,19608.75,402
2025-03-16 22:49:00+00:00,19604.25,19608.75,19603.0,19606.75,437
2025-03-16 22:50:00+00:00,19600.75,19605.0,19600.0,19604.0,888
2025-03-16 22:51:00+00:00,19592.25,19613.0,19590.75,19600.75,1284
2025-03-16 22:52:00+00:00,19589.5,19608.75,19576.25,19593.0,2156
2025-03-16 22:53:00+00:00,19588.0,19595.0,19581.25,19591.0,753
2025-03-16 22:54:00+00:00,19593.75,19597.75,19582.25,19589.0,905
2025-03-16 22:55:00+00:00,19585.25,19596.75,19584.0,19591.5,444
2025-03-16 22:56:00+00:00,19582.25,19587.25,19580.0,19586.25,1252
2025-03-16 22:57:00+00:00,19579.75,19586.0,19576.25,19583.0,656
2025-03-16 22:58:00+00:00,19566.25,19585.75,19566.0,19580.5,911
2025-03-16 22:59:00+00:00,19570.5,19574.25,19560.0,19566.75,1321
2025-03-16 23:00:00+00:00,19571.75,19574.0,19561.25,19571.5,1027
2025-03-16 23:01:00+00:00,19578.25,19580.0,19570.25,19572.0,743
2025-03-16 23:02:00+00:00,19573.75,19580.75,19571.0,19578.5,443
2025-03-16 23:03:00+00:00,19572.0,19575.5,19571.0,19574.25,278
2025-03-16 23:04:00+00:00,19576.25,19578.5,19570.25,19572.75,364
2025-03-16 23:05:00+00:00,19557.75,19578.25,19556.75,19577.0,802
2025-03-16 23:06:00+00:00,19560.0,19562.75,19551.25,19558.75,922
2025-03-16 23:07:00+00:00,19564.0,19564.5,19556.75,19559.5,495
2025-03-16 23:08:00+00:00,19559.25,19563.25,19556.0,19563.25,266
2025-03-16 23:09:00+00:00,19558.75,19560.75,19557.0,19558.25,193
2025-03-16 23:10:00+00:00,19557.25,19563.5,19555.75,19559.5,429
2025-03-16 23:11:00+00:00,19553.0,19558.5,19551.0,19557.0,543
2025-03-16 23:12:00+00:00,19558.75,19563.5,19553.0,19554.0,620
2025-03-16 23:13:00+00:00,19566.0,19567.0,19555.5,19558.5,413
2025-03-16 23:14:00+00:00,19568.75,19571.0,19564.0,19565.0,462
2025-03-16 23:15:00+00:00,19571.25,19575.75,19566.75,19568.75,598
2025-03-16 23:16:00+00:00,19577.75,19581.5,19571.75,19571.75,662
2025-03-16 23:17:00+00:00,19582.75,19586.0,19576.75,19577.75,706
2025-03-16 23:18:00+00:00,19578.5,19584.25,19578.0,19582.75,370
2025-03-16 23:19:00+00:00,19578.75,19581.0,19578.0,19578.5,130
2025-03-16 23:20:00+00:00,19578.0,19582.0,19578.0,19579.25,153
2025-03-16 23:21:00+00:00,19578.0,19579.25,19576.0,19578.25,209
2025-03-16 23:22:00+00:00,19575.5,19578.0,19573.0,19577.0,242
2025-03-16 23:23:00+00:00,19577.25,19577.25,19574.5,19575.5,113
2025-03-16 23:24:00+00:00,19577.0,19579.0,19575.75,19576.5,121
2025-03-16 23:25:00+00:00,19581.75,19581.75,19577.0,19578.0,164
2025-03-16 23:26:00+00:00,19589.75,19590.0,19581.25,19581.75,511
2025-03-16 23:27:00+00:00,19587.5,19591.0,19587.25,19589.75,310
2025-03-16 23:28:00+00:00,19589.25,19591.5,19587.25,19587.5,228
2025-03-16 23:29:00+00:00,19589.5,19591.25,19588.25,19589.0,128
2025-03-16 23:30:00+00:00,19591.5,19591.75,19586.0,19589.0,219
2025-03-16 23:31:00+00:00,19587.75,19591.5,19587.25,19591.25,182
2025-03-16 23:32:00+00:00,19588.25,19589.25,19586.0,19587.75,143
2025-03-16 23:33:00+00:00,19589.75,19590.0,19587.5,19587.75,87
2025-03-16 23:34:00+00:00,19591.5,19595.0,19588.25,19588.75,446
2025-03-16 23:35:00+00:00,19590.25,19594.25,19590.0,19591.25,223
2025-03-16 23:36:00+00:00,19593.5,19593.75,19590.25,19590.25,137
2025-03-16 23:37:00+00:00,19593.75,19598.0,19592.5,19592.5,325
2025-03-16 23:38:00+00:00,19599.25,19599.75,19593.0,19593.5,221
2025-03-16 23:39:00+00:00,19601.0,19602.75,19597.25,19599.5,469
2025-03-16 23:40:00+00:00,19611.0,19611.5,19599.75,19600.25,580
2025-03-16 23:41:00+00:00,19603.75,19610.75,19602.0,19610.75,405
2025-03-16 23:42:00+00:00,19602.5,19605.5,19601.25,19604.5,256
2025-03-16 23:43:00+00:00,19602.5,19603.25,19599.0,19602.25,228
2025-03-16 23:44:00+00:00,19604.25,19606.75,19600.5,19602.0,288
2025-03-16 23:45:00+00:00,19604.0,19607.0,19602.75,19603.75,199
2025-03-16 23:46:00+00:00,19596.25,19605.5,19594.75,19604.0,428
2025-03-16 23:47:00+00:00,19598.0,19602.0,19594.5,19595.75,242
2025-03-16 23:48:00+00:00,19596.0,19598.5,19594.75,19597.5,142
2025-03-16 23:49:00+00:00,19595.5,19597.25,19594.5,19596.5,90
2025-03-16 23:50:00+00:00,19587.75,19595.5,19583.5,19595.25,868
2025-03-16 23:51:00+00:00,19605.75,19609.25,19586.0,19588.0,905
2025-03-16 23:52:00+00:00,19608.0,19609.25,19598.25,19605.25,370
2025-03-16 23:53:00+00:00,19601.75,19609.0,19600.0,19608.0,218
2025-03-16 23:54:00+00:00,19597.5,19604.25,19590.5,19601.75,514
