Datetime,Close,High,Low,Open,Volume
2025-03-02 23:00:00+00:00,20968.5,21036.25,20949.0,21005.25,12657
2025-03-03 00:00:00+00:00,20883.0,20971.0,20837.75,20969.5,13831
2025-03-03 01:00:00+00:00,20945.0,20952.0,20863.75,20885.75,8926
2025-03-03 02:00:00+00:00,20929.5,20962.75,20918.5,20942.25,6571
2025-03-03 03:00:00+00:00,20923.5,20934.0,20884.25,20928.0,5511
2025-03-03 04:00:00+00:00,20954.0,20956.0,20919.75,20923.0,2433
2025-03-03 05:00:00+00:00,20987.0,21001.5,20945.0,20951.5,4734
2025-03-03 06:00:00+00:00,21008.25,21021.25,20958.5,20986.5,6768
2025-03-03 07:00:00+00:00,20963.5,21014.5,20923.25,21009.0,7736
2025-03-03 08:00:00+00:00,20947.5,20990.0,20888.0,20961.5,12767
2025-03-03 09:00:00+00:00,21013.25,21019.0,20928.25,20948.0,8239
2025-03-03 10:00:00+00:00,21003.75,21021.0,20986.0,21014.0,5474
2025-03-03 11:00:00+00:00,21042.25,21045.75,20995.25,21003.75,5480
2025-03-03 12:00:00+00:00,21069.5,21101.0,21031.25,21040.75,13544
2025-03-03 13:00:00+00:00,21065.5,21081.0,21034.25,21070.25,13490
2025-03-03 14:00:00+00:00,20845.5,21121.0,20824.25,21065.25,98525
2025-03-03 15:00:00+00:00,20858.0,20989.25,20760.0,20845.0,130368
2025-03-03 16:00:00+00:00,20922.0,20985.0,20831.0,20858.5,77917
2025-03-03 17:00:00+00:00,20849.25,20964.5,20822.0,20922.0,47665
2025-03-03 18:00:00+00:00,20747.75,20857.0,20653.25,20849.5,92921
2025-03-03 19:00:00+00:00,20603.25,20819.75,20598.75,20747.25,78920
2025-03-03 20:00:00+00:00,20473.0,20606.0,20316.75,20604.25,148894
2025-03-03 21:00:00+00:00,20530.75,20537.0,20464.25,20473.5,23228
2025-03-03 23:00:00+00:00,20515.75,20557.75,20490.0,20527.0,0
2025-03-04 00:00:00+00:00,20551.0,20556.25,20474.0,20514.75,8159
2025-03-04 01:00:00+00:00,20476.75,20571.0,20466.25,20551.25,8604
2025-03-04 02:00:00+00:00,20524.0,20538.5,20472.75,20476.75,5040
2025-03-04 03:00:00+00:00,20540.5,20549.5,20501.25,20523.5,4453
2025-03-04 04:00:00+00:00,20532.75,20562.0,20516.75,20540.75,5033
2025-03-04 05:00:00+00:00,20567.25,20581.25,20532.25,20571.0,7721
2025-03-04 06:00:00+00:00,20559.5,20583.0,20524.0,20568.5,6239
2025-03-04 07:00:00+00:00,20489.5,20568.75,20475.25,20560.0,8510
2025-03-04 08:00:00+00:00,20517.0,20563.5,20462.75,20488.25,12273
2025-03-04 09:00:00+00:00,20495.5,20566.0,20489.5,20516.0,10332
2025-03-04 10:00:00+00:00,20462.75,20514.5,20444.0,20496.5,11468
2025-03-04 11:00:00+00:00,20475.0,20493.25,20438.25,20462.5,9669
2025-03-04 12:00:00+00:00,20319.75,20474.75,20305.25,20474.25,27583
2025-03-04 13:00:00+00:00,20326.25,20356.0,20262.25,20320.75,34436
2025-03-04 14:00:00+00:00,20231.75,20430.0,20227.75,20324.5,123011
2025-03-04 15:00:00+00:00,20196.25,20263.25,20075.25,20230.5,150128
2025-03-04 16:00:00+00:00,20299.0,20337.75,20108.5,20197.5,101793
2025-03-04 17:00:00+00:00,20337.0,20436.25,20265.75,20298.0,85474
2025-03-04 18:00:00+00:00,20500.5,20523.0,20310.75,20338.0,76010
2025-03-04 19:00:00+00:00,20618.75,20632.25,20497.75,20500.0,73292
2025-03-04 20:00:00+00:00,20397.5,20732.5,20324.5,20619.25,121894
2025-03-04 21:00:00+00:00,20537.0,20593.25,20394.0,20396.75,41382
2025-03-04 23:00:00+00:00,20578.0,20595.25,20531.75,20555.0,0
2025-03-05 00:00:00+00:00,20533.75,20588.75,20485.5,20579.5,7696
2025-03-05 01:00:00+00:00,20503.25,20542.5,20452.5,20535.0,9895
2025-03-05 02:00:00+00:00,20479.75,20510.5,20440.5,20501.5,8438
2025-03-05 03:00:00+00:00,20549.25,20563.5,20458.0,20476.5,7973
2025-03-05 04:00:00+00:00,20538.75,20567.75,20529.0,20546.5,3109
2025-03-05 05:00:00+00:00,20549.25,20557.75,20506.0,20551.5,4219
2025-03-05 06:00:00+00:00,20549.0,20566.75,20518.0,20549.25,3657
2025-03-05 07:00:00+00:00,20541.25,20577.0,20535.25,20549.0,5650
2025-03-05 08:00:00+00:00,20551.0,20609.75,20513.75,20542.25,12311
2025-03-05 09:00:00+00:00,20609.0,20629.5,20517.0,20551.25,10414
2025-03-05 10:00:00+00:00,20545.5,20622.0,20534.75,20609.75,9980
